name,mainOfficeLocation,countiesServed,servicesOffered,contactInformation,website
The Center for Progressive Learning,Owings Mills,"Anne Arundel, Baltimore City, Baltimore, Carroll, Cecil, Charles, Dorchester, Frederick, Harford, Howard, Montgomery, Prince George's, Somerset, Talbot, Washington, Wicomico, and Worcester","Individual Family Care, and Respite Care","410.581.7800
877.259.2800 (Toll Free)
mail@cplcares.org",http://www.cplcares.org/
Center For Social Change,Elkridge,"Baltimore, Baltimore City, Howard, Prince George's","Residential Services, Family Support Services, Individual Support Services, Personal Support Services, Vocational Day, Day Habilitation, and Supported Employment","410.579.6789
1.800.269.0383 (Toll Free)
info@centerforsocialchange.org",http://www.centerforsocialchange.org/
"Cerenity, Inc.",Waldorf,"Calvert, Charles, Montgomery, Prince George's, St. Mary's","Supported Employment, Vocational Day Program, Day Habilitation Program, Individual Support Services (ISS), Personal Supports (PS), Residentail Services, Respite Care","(240) 270-7327
(240) 39800642 (mobile)
bhunt@cerenityinc.com",http://www.cerentityinc.com/
Charles County HARC,Waldorf,Charles ,"Residential Services, Individual Support Services","301.932.7030
charlesharc@comcast.net",http://www.ccharc.com/
Charles County Health Department,White Plains,Charles ,"Resource Coordination, Individual Support Services, and Family Support Services","301.609.6830
301.609.6694 (Toll Free)
lindab@dhmh.state.md.us",http://www.charleshealth.org/
"CHI, Inc.",Silver Spring,"Howard, Montgomery, Prince George's ","Supported Employment, Day Habilitation Program, Residential, Individual Support Services, Personal Support Services, Vocational Day Program","301.445.3350
301.439.5366 (TTY)
alovell@chicenters.org",http://www.chicenters.org/
"Computer Information Systems and HealthCare, Inc.",Upper Marlboro,"Allegany, Anne Arundel, Baltimore, Baltimore City, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Kent, Montgomery, Prince George's, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester counties and Washington D.C.","Residential Services for Youths from ages 12 to 21 and Adult services from age 21 and above, Personal Support Services, Day Habilitation services, Vocational services, Supported Employment, and Support services for individuals in Autism Waivers","240.508.3244
301.364.3701
Sibedwo@yahoo.com",http://www.cishinc.com/
"Comfort Homes, Inc.",Bladensburg,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Montgomery, Prince George's, Kent, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester Counties, and Washington D. C.",Residential Services,"301.367.8899
comforthomes@comcast.net",
"Community Support Services, Inc.",,Montgomery ,"Supported Employment, Family Support Services, Individual Support Services, Day Habilitation Program, Residential, Behavioral Support Services, Summer Programs, and Respite Care",css@css.md.org,http://www.css-md.org/
"Compass, Inc.",Silver Spring,"Montgomery, Charles, Howard, and Prince George's ","Residential Services, Personal Support Services, Individual Support Services, Behavioral Support Services, Respite Care","301.625.2406
akolp@compassmaryland.org",http://www.compassmaryland.org/
"Comprehensive Residential System, Inc.",Bowie,"Charles, Prince George's, Montgomery, St. Mary's, and Howard ","Supported Employment, Residential Services, Family Support Services, Individual Support Services, Respite Care, Personal Support Services","301.768.8023
info@crsincorporated.org",http://www.crsincorporated.org/
"Creative Options And Employment, Inc.",Waldolf,"Calvert, Charles, Montgomery, Prince George's, and St. Mary's","Day Habilitation Program, Family Support Services, Family Support Services, Supported Employment","240.398.0642
b.hunt@coejobs.org",http://www.coejobs.org/
Community Services For Autistic Adults and Children,Montgomery Village,"Anne Arundel, Baltimore, Carroll, Frederick, Howard, Montgomery, Prince George's, Washington, D. C., and Out of State","Supported Employment, Residential Services, Day Habilitation Program, Family Support Services, Individual Support Services","240.912.2220
1.800.735.2258 (TTY)
Lrossomondo@csaac.org",http://www.csaac.org/
"Devotion Care, Inc.",Clarksburg,"Carroll, Frederick, Montgomery, Prince George's, Washington","Residential Services, Personal Supports","301.916.7170
240.476.4729 (Mobile.
info@devotioncare.com",http://www.devotioncare.com/
"Dominion Residence Of Maryland, Inc.",Lanham,"Baltimore City, Baltimore, Prince George's, Carroll, and Montgomery ","Personal Supports, Residential Services, Respite Care","301.306.2020 ext 101
info@dominionresidence.org
dominionresidence@gmail.com",http://www.dominionresidence.org/
"Dreamcatchers Community Improvement, Inc",Capitol Heights,"Montgomery, Prince Georges', Howard, Charles, St. Mary's  and Calvert ","Community Residential Services in the form of Group Homes, Alternative Community Unit, Respite Services, Family and Individual Support Services, and Personal Support Services","301.499.3399
dreamcatchersinc@verizon.net",
"EBED Community Improvement, Inc.",Lanham,"Charles, St. Mary's, Prince George's, and Montgomery","Family Support Services, Residential, Respite, Personal Support Services","301.306.1050/1051
EBED@ebedinc.com",http://www.ebedinc.com/
"eMerge, Inc.",Columbia,"Baltimore City, Baltimore, Anne Arundel, Howard  Carroll, Haword, Montgomery, Prince George's ","Supported Employment, Family Support Services, Individual Support Services, Personal Support Services, Residential Services, Vocational Day Program, Day Habilitation Program, Respite Care, Behavioral Support Services","410.884.4420
mgahagan@emergeinc.org",http://www.emergeinc.org/
"Family Services Foundation, Inc.",Landover,"Baltimore City, Baltimore, Frederick, Montgomery, and Prince George's ; open to serving persons outside current areas","Supported Employment, Family Support Services, Individual Support Services, Residential Services, Personal Support Services, Vocational Day Program/Sheltered Workshop","301.459.2121
301.731.6141 (TTY)",http://www.fsfinc.org/
"First Metropolitan Facilities, Inc.",Suitland,Prince George's,Residential Services,"301.316.2717
Firstmet@msn.com",
Full Citizenship Of Maryland,Riverdale,"Montgomery, Prince George's ","Supported Employment, Personal Supports, Residential Services, Respite Care, Behavioral Support Services","301.209.0696
fullciti@comcast.net",
"Head Injury Rehabilitation and Referral Services, Inc.",Rockville,"Frederick, Howard, Montgomery, Prince George's, Washington D.C.","Residential, Individual Support Services, Family Support Services, Day Habilitation Program, Vocational Day Program, Supported Employment","301.309.2228
tbi@headinjuryrehab.org",http://www.hirrs.org/
Hebron Association for Community Services,Silver Spring,"Allegany, Anne Arundel, Baltimore City, Frederick, Garrett, Howard, Montgomery, Prince George's, St. Mary's","Residential Services, Respite Care","301.587.3733
HebCommunity@msn.com",
"Helena's House, Inc.",Upper Marlboro,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Montgomery, Prince George's, Kent, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester Counties, and Washington D. C.","Residential Services, Respite Care","301.935.4691
helenahouse@gmail.com",http://www.helenashouse.com/
"?IHCOS CARE ASSOCIATES, INC",Germantown,"Baltimore, Carroll, Frederick, Howard, Montgomery, Prince George’s","Family and Individual Support Services, Personal Supports, Residential Services, Respite Care","301.980.2946
301.972.0693 (Toll Free)
Dom1006@aol.com
Cct.ihcos@aol.com",http://www.ihcoscares.com/
Jewish Foundation for Group Homes,Rockville,"Montgomery, Out of State","Residential, Individual Support Services, Personal Supports","301.984.3839
info@jfgh.org",http://www.jfgh.org/
Jewish Social Service Agency,Rockville,Montgomery,"Family Support Services, Individual Support Services, Personal Support Services, and Supported Employment","301.838.4200
301.309.2597 (TTY)",http://www.jssa.org/
"Jubilee Association of Maryland, Inc.",Kensington,Montgomery,"Residential Services, Individual Support Services, Personal Support Services",301.949.8626,http://www.jubileemd.org/
"LaTonya's House, Inc.",Bowie,"Prince George's, and Montgomery","Residential Services, Personal Support Services","240.394.9286
info@latonyashouse.org",http://www.latonyashouse.org/
"LIFE, Inc.",Baltimore,"Baltimore City, Baltimore and Howard","Residential Services, Individual Support Services, Summer Programs, Personal Support Services, Respite Care","410.735.5433
1.800.735.2258 (TTY)
callananj@lifeinc.org",http://www.lifeinc.org/
Lt. Joseph P. Kennedy Institute of Catholic Charities ADC,"Washington, D.C.","Montgomery, Prince George's, Washington D.C.","Residential, Day habilitation, Supported Employment, Vocational Day Program, Family Support Services, Individual Support Services, Behavioral Support Services, Personal Support Services","202.281.2700
Bonnie.Oettinger@CatholicCharitiesdc.org",http://www.catholiccharitiesdc.org/
Maryland Community Connection,Lanham,Prince George's  and Charles ,"Supported Employment, Individual Support Services, Family Supported Services, Respite Care, and Personal Support Services","301.583.0358
1.877.MCC.6688
info@marylanD.C.ommunityconnection.org",http://www.marylandcommunityconnection.org/
Maryland Neighborly Networks,Berwyn Heights,Prince George's,"Residential, Respite Care","301.441.8644
middlekingdom@adelphia.net",
Maxim Healthcare Services,Towson,"Anne Arundel, Baltimore City, Baltimore, Harford, Howard, Caroline, Cecil, Dorchester, Kent, Queen Anne's, Somerset, Talbot, Wicomico, Worcester, Calvert, Charles, Montgomery, Prince George's, St. Mary's, Allegany, Carroll, Frederick, Garrett, Washington ","Personal Support Services, Behavioral Support Services, Individual Support Services","410.494.0260
877.586.2946 (Toll Free)
towsonhh@maximhealth.com",
"MedSource Community Services, Inc.",Middletown,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Kent, Montgomery, Queen Anne's, St. Mary's, Somerset, Talbot, Washington, Wicomico, Worcester, and Prince George's","Residential, Personal Supports, Fiscal Intermediary Services","301.371.3775
1.888.627.3671 (TTY)
stmedsource@gmail.com",http://www.medsourceservices.org/
Melwood Horticultural Training Center,Upper Marlboro,"Anne Arundel, Calvert, Charles, Montgomery, Prince George's  and Washington, D.C.","Supported Employment, Family Support Services, Individual Support Services, Vocational Day Program/Sheltered Workshop, Day Habilitation Program, Individual Family Care, Summer Programs/Camps and Vacations, Personal Support Services","301.599.8000
1.877.MELWOOD (Toll Free)
services@melwood.org",http://www.melwood.org/
Montgomery  Department of Health and Human Services,Rockville,Montgomery ,"Individual Support Services (ISS., Resource Coordination","240.777.1216
(240.777.1217 (TTY)",http://www.montgomerymd.gov/
"My Own Place, Inc.","Washington, D.C.","Prince George's, Washington D.C.","Behavioral Support Services, Resource Corrdination, Personal Support Services, Residential Services","202.580.6700
Khopkins@arcdc.net",
"National Children's Center, Inc. (NCC)","Washington, D.C.","Montgomery, Prince George's","Supported Employment, Vocational Day Program, Individual Support Services, Personal Support Services, Residential Services, Day Habilitation Program","202.722.2300
BJarrett@nccinc.org",http://www.nccinc.org/
New Horizons Supported Services Inc.,Upper Marlboro,"Anne Arundel, Calvert, Charles, Howard, Montgomery, and Prince George's","Supported Employment, Vocational Day Program, Day Habilitation Program, Individual Support Services (ISS., Personal Support Services (CSLA.","301.249.0206
general@nhssi.org",http://www.nhssi.org/
"Novena Healthcare, Inc.",Lanham,"Anne Arundel, Baltimore City, Baltimore, Charles, Harford, Montgomery, Prince George’s","Vocational Day Program, Day Habilitation Program, Personal Supports, Residential Services","888.958.3524
888.958.3524 (Toll Free)
info@novenahealthcare.com",http://www.novenahealthcare.com/
"Pool of Bethesda Community Services, Inc.",Beltsville,"Baltimore, Frederick, Montgomery, Prince Georges' ","Residential, Personal Support Services, Respite","301.220.0628
info@fawenterprises.com",http://www.fawemaenterprises.com/
"Q.Care, Inc.",Germantown,"Frederick, Howard, Montgomery, Prince George's","Personal Support Services, Residential Services, Respite Care","240.654.3589
info@qcareinc.org",http://www.qcareinc.org/
"Rehabilitation Opportunities, Inc.",Lanham,"Montgomery, Prince George's ","Vocational Day Program/Sheltered Workshop, and Supported Employment","301.731.4242
generalinfo@roiworks.org",http://www.roiworks.org/
"Resource Connections, Inc",Lanham,Prince George's,Resource Coordination,"301.429.9300
JSims@resconnect.org",http://www.resconnect.org/
Rock Creek Foundation,Silver Spring,"Howard, Montgomery, Prince George's ","Supported Employment, Individual Support Services, Day Habilitation Program, Personal Support Services","301.586.0900
cmumford@santegroup.org",http://www.thesantegroup.org/
Second Family Adult Homes,Bowie,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Cecil, Charles, Carroll, Frederick, Garrett, Harford, Howard, Montgomery, Prince George's, St. Mary's, Washington","Residential Services, Respite Care","240.206.8860
ayothomas@sfadulthomes.com
shildalabule@2ndfamilyinc.com",
SEEC,Silver Spring,"Montgomery, Prince George's ","Supported Employment, Family Support Services, Individual Support Services, Day Habilitation Program, and Personal Support Services","301.576.9000
1.888.399.7332 (Toll Free)
klee@seeconline.org",http://www.seeconline.org/
"S & G Residential Services, Inc.",Takoma Park,Montgomery and Prince George's,"Residential Services, Respite Care","301.439.9683
anaskekar@aol.com",
"EPIC ""Empowering People with Intellectual Challenges""",Forestville,"Prince George's, Montgomery ","Supported Employment, Personal Support Services, Residential Services, Family Support Services, Individual Support Services, Respite Care, Vocational Day Program, Day Habilitation Program","301.516.7300
info@smvi.org",http://www.epic.smvi.org/
"Social Health Services Group, Inc.",Upper Marlboro,"Anne Arundel, Baltimore, Montgomery, Prince George's","Family Support Services, Individual Support Services, Individual Family Care, Personal Support Services, Residential Services, Respite Care","301.358.4447
1.866.560.6357 (Toll Free)
marcusdavis@shsginc.com",
"Saint Coletta of Greater Washington, Inc.","Washington, D.C.","Montgomery, Prince George's",Supported Employment,"202.350.8680
202.350.8695 (TTY)",http://www.stcoletta.org/
St. Mary's  Health Department,Leonardtown,St. Mary's ,Resource Coordination,"301.475.4389
1.800.735.2258 (TTY)
weylt@smhd.com",http://www.smchd.org/
"Spring Dell Center, Inc.",La Plata,Charles,"Supported Employment, Individual Support Services, Vocational Day Program, Respite Care, Behavioral Support Services, Personal Support Services, and Residential Services, Fiscal Intermediary Services","301.934.4561
donnaretzlaff@springdellcenter.org",http://www.springdellcenter.org/
Sykesville Woods Services,Laurel,"Allegany, Anne Arundel, Baltimore City, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Kent, Montgomery, Prince George's, Queen Anne's, St Mary's, Somerset, Talbot, Washington, Wicomico, Worcester","Personal Supports, Residential Services, Respite Care, Supported Employment, Vocational Services, Day Habilitation Program","240.294.4099
240.755.6234 (Toll Free)
SWSI@sykesville2.com",
"Target Community & Educational Services, Inc.",Westminster,"Montgomery, Carroll","Personal Supports, Individual Support Services, Family Support Services, Day Habilitation Program, Individual Family Care, Vocational Day Program, Behavioral Support Services, Supported Employment","410.848.9090
jcasey@targetcommunity.org",http://www.targetcommunity.org/
The Treatment and Learning Centers Outcomes Service,Rockville,Montgomery,"Community Development Services, Personal Supports, Supported Employment",mserre@ttlc.org,http://www.ttlc.org/
Sunrise Community / UCP on the Potomac,Lanham,"Montgomery, Prince George's ","Supported Employment, Individual Support Services, Day Habilitation Program, Summer Programs/Camps and Vacations, Personal Support Services","301.459.0566
301.459.7691 (TTY)
jgarrett@sunrisegroup.org",
V & T Residential Services,Bowie,"Anne Arundel, Calvert, Charles, Montgomery, and Prince George's","Personal Supports, Residential Services, Respite Care","301.275.7435
vandtresidential@yahoo.com",http://www.vandtresidential.com/
VOCA of Maryland,Lanham,"Charles, Howard, and Prince George's","Supported Employment, Vocational Day Program, Day Habilitation Program, Individual Support Services (ISS., Personal Support Services","301.459.2702
jbkamara@rescare.com",http://www.rescare.com/
Work Opportunities Unlimited,Wheaton,"Anne Arundel, Baltimore City, Baltimore, Calvert, Howard, Montgomery, Prince George's Counties,Washing D.C, and Out of State","Supported Employment, Family Support Services, Vocational Day Program, Individual Support Services","301.929.4350 x.2015
iayalew@workopportunities.net
smane@workopportunities.net",http://www.workopportunities.net/
